YEAR,MONTH,DAY,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,SUSPECT_ARRESTED_FLAG,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,WEAPON_FOUND_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_BORO_NAME,SECONDS
2020,January,Wednesday,Based on Radio Run,POM,1,Other,2,Y,Y,N,Y,Y,Y,Y,18.0,MALE,BLACK,61.0,160.0,THN,BLK,BLK,997094,222002,10028,MANHATTAN,4320.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,N,Y,Y,N,N,18.0,MALE,BLACK,62.0,180.0,THN,BRO,BLK,997094,222002,10028,MANHATTAN,4260.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,N,Y,Y,N,N,17.0,MALE,WHITE HISPANIC,51.0,165.0,MED,BRO,BLK,997094,222002,10028,MANHATTAN,4260.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,10,Y,Y,N,Y,Y,Y,N,33.0,MALE,BLACK,6.0,220.0,MED,BRO,BLK,1018441,181412,11208,BROOKLYN,37080.0
2020,January,Wednesday,Based on Radio Run,POM,0,BURGLARY,15,Y,N,N,Y,N,N,N,40.0,FEMALE,WHITE,59.0,170.0,MED,BRO,BLN,987763,182543,11215,BROOKLYN,31500.000000000004
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,N,Y,Y,N,N,19.0,MALE,BLACK,51.0,170.0,Other,Other,BLK,997094,222002,10028,MANHATTAN,0.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,N,Y,Y,N,N,18.0,MALE,BLACK,51.0,165.0,Other,Other,BLK,997094,222002,10028,MANHATTAN,3780.0000000000005
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,N,Y,Y,N,N,18.0,MALE,BLACK,51.0,165.0,Other,Other,BLK,997094,222002,10028,MANHATTAN,3780.0000000000005
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,N,Y,Y,N,N,19.0,MALE,BLACK,62.0,180.0,Other,Other,BLK,997094,222002,10028,MANHATTAN,3780.0000000000005
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,N,Y,Y,N,N,19.0,FEMALE,Other,58.0,200.0,Other,Other,Other,997094,222002,10028,MANHATTAN,3780.0000000000005
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,N,Y,Y,N,N,19.0,MALE,BLACK,51.0,190.0,Other,Other,BLK,997094,222002,10028,MANHATTAN,3780.0000000000005
2020,January,Wednesday,Based on Radio Run,POM,1,Other,6,Y,N,N,Y,Y,Y,N,39.0,MALE,BLACK,51.0,150.0,THN,BRO,BLK,1000271,236435,10030,MANHATTAN,62640.00000000001
2020,January,Wednesday,Based on Radio Run,POM,2,LARCENY,6,Y,Y,N,Y,Y,Y,N,38.0,MALE,BLACK,511.0,175.0,MED,BLK,BLK,987495,190615,11201,BROOKLYN,58560.00000000001
2020,January,Wednesday,Based on Radio Run,POM,1,Other,16,Y,N,N,Y,Y,N,N,22.0,MALE,WHITE HISPANIC,51.0,210.0,Other,BRO,BLK,1036720,204013,11367,QUEENS,75960.0
2020,January,Thursday,Based on Radio Run,POM,2,BURGLARY,10,Y,Y,N,Y,Y,N,N,16.0,MALE,WHITE HISPANIC,56.0,120.0,THN,BRO,Other,1006724,232536,10454,BRONX,4320.0
2020,January,Thursday,Based on Radio Run,POM,3,BURGLARY,5,N,Y,N,Y,Y,Y,N,19.0,MALE,WHITE HISPANIC,58.0,160.0,THN,BRO,BLK,1006098,232576,10454,BRONX,4440.0
2020,January,Wednesday,Based on Radio Run,POM,0,Other,10,Y,N,N,Y,Y,N,N,16.0,MALE,BLACK,57.0,120.0,THN,BRO,BLK,1015285,181756,11207,BROOKLYN,54720.0
2020,January,Wednesday,Based on Radio Run,POF,0,Other,10,Y,N,N,Y,Y,N,N,0.0,MALE,BLACK,0.0,0.0,MED,BRO,BLK,1015285,181756,11207,BROOKLYN,54720.0
2020,January,Wednesday,Based on Radio Run,POM,0,Other,10,Y,N,N,Y,Y,N,N,24.0,MALE,BLACK,59.0,160.0,MED,BRO,BLK,1015285,181756,11207,BROOKLYN,54720.0
2020,January,Wednesday,Based on Radio Run,POF,0,Other,10,Y,N,N,Y,Y,N,N,0.0,MALE,BLACK,0.0,0.0,MED,BLK,BLK,1015285,181756,11207,BROOKLYN,54720.0
2020,January,Wednesday,Based on Radio Run,POM,1,LARCENY,1,N,Y,N,Y,N,N,N,21.0,MALE,BLACK,51.0,165.0,THN,BRO,BLK,986497,192168,(null),BROOKLYN,13500.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,1,Y,N,N,N,Y,N,N,18.0,MALE,BLACK,0.0,200.0,MED,BRO,BLK,1010355,182412,11212,BROOKLYN,76200.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,0,Y,Y,N,Y,Y,Y,N,50.0,MALE,BLACK,56.0,150.0,MED,BLK,BLK,1001099,183758,11213,BROOKLYN,68520.0
2020,January,Thursday,Based on Radio Run,POM,1,Other,14,Y,Y,N,Y,N,N,N,17.0,MALE,BLACK,56.0,130.0,THN,BRO,BLK,1040042,156329,11692,QUEENS,51300.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,25,N,Y,N,Y,N,Y,N,25.0,MALE,WHITE HISPANIC,6.0,210.0,MED,BRO,Other,1026183,206217,11375,QUEENS,17820.0
