YEAR,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,SUSPECT_ARRESTED_FLAG,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_BORO_NAME,SECONDS
2020,Based on Radio Run,POM,1,Other,10,Y,Y,N,Y,Y,Y,N,Y,Y,Y,33,MALE,BLACK,6,220,MED,BRO,BLK,1018441,181412,BROOKLYN,37080.0
2020,Based on Radio Run,POM,2,LARCENY,6,Y,Y,N,Y,Y,Y,N,Y,Y,Y,38,MALE,BLACK,5.11,175,MED,BLK,BLK,987495,190615,BROOKLYN,58560.00000000001
2020,Based on Radio Run,POM,3,BURGLARY,5,N,Y,N,Y,Y,Y,N,Y,Y,Y,19,MALE,WHITE HISPANIC,5.8,160,THN,BRO,BLK,1006098,232576,BRONX,4440.0
2020,Based on Radio Run,POM,1,LARCENY,1,N,Y,N,Y,N,N,N,Y,Y,Y,21,MALE,BLACK,5.1,165,THN,BRO,BLK,986497,192168,BROOKLYN,13500.0
2020,Based on Radio Run,POM,1,Other,25,N,Y,N,Y,N,Y,N,Y,Y,Y,25,MALE,WHITE HISPANIC,6,210,MED,BRO,Other,1026183,206217,QUEENS,17820.0
2020,Based on Radio Run,POM,1,BURGLARY,10,Y,Y,N,Y,Y,Y,N,Y,Y,Y,40,MALE,BLACK,6.1,220,MED,BRO,BLK,994216,174053,BROOKLYN,1860.0000000000002
2020,Based on Radio Run,POM,1,LARCENY,5,Y,Y,N,Y,N,Y,N,Y,Y,Y,42,MALE,WHITE HISPANIC,5.1,250,Other,BRO,Other,1025229,258260,BRONX,7920.000000000001
2020,Based on Radio Run,POF,1,ASSAULT,5,Y,Y,N,Y,Y,Y,N,Y,Y,Y,45,MALE,WHITE HISPANIC,5.7,250,Other,BRO,BLK,997363,234697,MANHATTAN,63180.00000000001
2020,Based on Radio Run,POM,2,Other,2,Y,N,Y,Y,N,Y,N,Y,Y,Y,19,MALE,BLACK,5.9,155,THN,BRO,BLK,997520,231479,MANHATTAN,3600.0
2020,Based on Radio Run,POM,2,Other,2,Y,Y,N,Y,N,Y,N,Y,Y,Y,18,MALE,BLACK,5.1,200,Other,BLK,BLK,998486,230978,MANHATTAN,3600.0
