YEAR,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,SUSPECT_ARRESTED_FLAG,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_BORO_NAME,SECONDS
2019,Based on Self Initiated,POM,1.0,LARCENY,15.0,N,Y,N,N,N,Y,N,(,Y,Y,24,MALE,BLACK,5.11,165,THN,BRO,BLK,984713.0,203398.0,MANHATTAN,52200.0
2019,Based on Radio Run,POM,4.0,LARCENY,30.0,Y,Y,N,Y,Y,Y,N,(,Y,Y,20,MALE,BLACK,6.1,160,THN,BRO,BLK,980875.0,194871.0,MANHATTAN,83700.0
2019,Based on C/W on Scene,POM,1.0,LARCENY,16.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,12,MALE,WHITE,5.2,110,THN,BRO,Other,984724.0,203415.0,MANHATTAN,67440.0
2019,Based on Radio Run,POM,1.0,LARCENY,10.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,50,MALE,WHITE,5.1,200,MED,Other,Other,983855.0,201569.0,MANHATTAN,51720.0
2019,Based on Radio Run,POM,5.0,ROBBERY,20.0,N,Y,N,Y,N,Y,N,Y,Y,Y,14,MALE,ERICAN INDIAN/ALASKAN N,5.8,145,MED,BRO,BLK,982327.0,201274.0,MANHATTAN,83100.0
2019,Based on Radio Run,POM,1.0,ROBBERY,69.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,16,MALE,BLACK,5.6,145,THN,BRO,BLK,980392.0,196944.0,MANHATTAN,61620.00000000001
2019,Based on Radio Run,POM,1.0,ROBBERY,69.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,17,MALE,BLACK,5.8,160,THN,BRO,BLK,980392.0,196944.0,MANHATTAN,61620.00000000001
2019,Based on Radio Run,POM,1.0,ROBBERY,5.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,16,MALE,BLACK HISPANIC,5.8,160,MED,BRO,BLK,980528.0,197359.0,MANHATTAN,61440.00000000001
2019,Based on Radio Run,POM,1.0,ROBBERY,5.0,Y,Y,N,N,Y,Y,N,Y,Y,Y,15,MALE,BLACK,5.7,145,THN,BRO,BLK,980535.0,197381.0,MANHATTAN,61500.00000000001
2019,Based on Radio Run,POM,1.0,LARCENY,20.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,30,FEMALE,BLACK,5.3,100,THN,BRO,Other,980938.0,197020.0,MANHATTAN,62220.00000000001
2019,Based on Radio Run,POM,1.0,LARCENY,24.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,50,MALE,BLACK,5.1,160,MED,BLK,BLK,980748.0,196128.0,MANHATTAN,48120.0
2019,Based on Radio Run,POM,1.0,LARCENY,11.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,53,MALE,WHITE HISPANIC,5.8,150,THN,BRO,BLK,981992.0,199213.0,MANHATTAN,26040.0
2019,Based on Radio Run,POM,1.0,LARCENY,10.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,55,MALE,BLACK,6,195,MED,BRO,BLK,982563.0,199570.0,MANHATTAN,69180.0
2019,Based on Radio Run,POM,1.0,LARCENY,4.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,56,MALE,BLACK,5.11,175,THN,BRO,BLK,980594.0,195807.0,MANHATTAN,54300.0
2019,Based on Radio Run,POM,1.0,BURGLARY,10.0,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,31,MALE,BLACK,6.5,200,THN,BRO,BLK,983478.0,202289.0,MANHATTAN,79500.0
2019,Based on Radio Run,POM,1.0,LARCENY,17.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,24,MALE,WHITE HISPANIC,5.7,150,MED,BRO,BLK,983406.0,200873.0,MANHATTAN,3420.0
2019,Based on C/W on Scene,POM,1.0,LARCENY,40.0,Y,Y,N,Y,Y,Y,N,(,Y,Y,27,MALE,BLACK,5.7,180,MED,BLK,BLK,981604.0,198068.0,MANHATTAN,55200.0
2019,Based on Radio Run,POF,1.0,ASSAULT,10.0,Y,Y,N,Y,N,Y,Y,(,Y,Y,36,MALE,BLACK,6,170,THN,BLK,Other,982768.0,200378.0,MANHATTAN,66900.0
2019,Based on Self Initiated,POM,5.0,BURGLARY,15.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,24,MALE,BLACK,5.11,150,THN,BRO,BLK,982416.0,196005.0,MANHATTAN,53940.0
2019,Based on C/W on Scene,POM,1.0,ASSAULT,10.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,14,FEMALE,BLACK,5.8,135,MED,BRO,BLK,982722.0,197618.0,MANHATTAN,64800.00000000001
2019,Based on Radio Run,POM,1.0,ASSAULT,10.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,13,FEMALE,BLACK,5.1,165,MED,BRO,BLK,982722.0,197618.0,MANHATTAN,64800.00000000001
2019,Based on Radio Run,POM,1.0,ASSAULT,10.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,16,FEMALE,BLACK,5.1,175,Other,BRO,BLK,982722.0,197618.0,MANHATTAN,64800.00000000001
2019,Based on Radio Run,POM,1.0,LARCENY,35.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,24,MALE,WHITE HISPANIC,5.9,200,MED,BRO,BLK,982939.0,197333.0,MANHATTAN,45300.0
2019,Based on Radio Run,POM,1.0,LARCENY,35.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,38,FEMALE,BLACK,5.3,125,MED,BRO,BLK,982939.0,197333.0,MANHATTAN,45300.0
2019,Based on Radio Run,POM,1.0,LARCENY,18.0,Y,Y,N,Y,Y,Y,N,(,Y,Y,33,MALE,WHITE HISPANIC,5.7,180,MED,BRO,BLK,980917.0,196981.0,MANHATTAN,20880.0
2019,Based on C/W on Scene,POM,1.0,ASSAULT,19.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,28,MALE,WHITE HISPANIC,5.1,170,MED,BLK,BLK,980555.0,196138.0,MANHATTAN,18720.0
2019,Based on Radio Run,POF,5.0,ROBBERY,5.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,27,MALE,BLACK,5.11,130,THN,BRO,Other,981005.0,197131.0,MANHATTAN,14640.000000000002
2019,Based on Radio Run,POF,1.0,LARCENY,10.0,Y,Y,N,Y,Y,Y,N,(,Y,Y,47,MALE,BLACK HISPANIC,6.2,150,THN,BRO,Other,981559.0,200289.0,MANHATTAN,48480.0
2019,Based on Radio Run,POF,1.0,LARCENY,4.0,Y,Y,N,N,N,Y,N,Y,Y,Y,49,MALE,BLACK,5.9,175,THN,BRO,BLK,984494.0,203976.0,MANHATTAN,68340.0
2019,Based on C/W on Scene,POM,1.0,LARCENY,8.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,18,FEMALE,WHITE HISPANIC,5.3,150,MED,BRO,Other,984081.0,202863.0,MANHATTAN,68580.0
2019,Based on C/W on Scene,POM,7.0,LARCENY,12.0,N,Y,N,Y,Y,Y,N,Y,Y,Y,30,MALE,BLACK,6,180,MED,BRO,BLK,983728.0,201372.0,MANHATTAN,70560.0
2019,Based on Radio Run,POM,1.0,ROBBERY,9.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,49,MALE,BLACK,5.1,217,MED,BRO,Other,982976.0,203903.0,MANHATTAN,13560.0
2019,Based on Radio Run,POM,1.0,LARCENY,8.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,29,MALE,BLACK,5.8,185,MED,BLK,BLK,983933.0,202631.0,MANHATTAN,40560.0
2019,Based on Radio Run,POM,2.0,LARCENY,4.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,30,MALE,BLACK,6.4,200,MED,BRO,BLK,983017.0,202582.0,MANHATTAN,66900.0
2019,Based on Radio Run,POM,1.0,LARCENY,11.0,N,Y,N,Y,Y,Y,Y,(,Y,Y,36,MALE,BLACK HISPANIC,5.6,185,THN,BRO,BLK,981131.0,197331.0,MANHATTAN,46560.0
2019,Based on Radio Run,POM,1.0,ASSAULT,16.0,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,41,MALE,BLACK,5.1,250,MED,BRO,BLK,980986.0,202440.0,MANHATTAN,36600.0
2019,Based on Radio Run,POM,1.0,LARCENY,19.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,34,FEMALE,BLACK,5.2,140,MED,BRO,BLK,983260.0,204022.0,MANHATTAN,16980.0
2019,Based on Self Initiated,POM,1.0,LARCENY,10.0,Y,Y,N,N,N,Y,N,Y,Y,Y,40,MALE,WHITE,5.11,170,MED,BRO,Other,985145.0,203571.0,MANHATTAN,14700.000000000002
2019,Based on Radio Run,POM,1.0,ROBBERY,9.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,57,FEMALE,BLACK,5.11,110,THN,BRO,BLK,983838.0,201273.0,MANHATTAN,44220.0
2019,Based on Radio Run,POM,2.0,ASSAULT,10.0,N,Y,N,Y,Y,Y,N,(,Y,Y,52,MALE,BLACK,5.6,110,THN,BRO,Other,983852.0,200664.0,MANHATTAN,63300.00000000001
2019,Based on Radio Run,Other,1.0,LARCENY,5.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,28,MALE,WHITE,5.6,160,THN,BRO,Other,982755.0,206652.0,MANHATTAN,62700.00000000001
