SUSPECT_ARRESTED_FLAG,YEAR,OBSERVED_DURATION_MINUTES,DAY,MONTH,SUSPECT_WEIGHT,SUSPECT_HEIGHT,SUSPECT_REPORTED_AGE,STOP_DURATION_MINUTES,STOP_LOCATION_X,STOP_LOCATION_Y,SUMMONS_ISSUED_FLAG,SECONDS
Y,2020,1,Wednesday,January,160.0,61.0,18.0,2,997094,222002,0,4320.0
N,2020,1,Wednesday,January,180.0,62.0,18.0,5,997094,222002,0,4260.0
N,2020,1,Wednesday,January,165.0,51.0,17.0,5,997094,222002,0,4260.0
Y,2020,1,Wednesday,January,220.0,6.0,33.0,10,1018441,181412,0,37080.0
N,2020,0,Wednesday,January,170.0,59.0,40.0,15,987763,182543,0,31500.000000000004
N,2020,1,Wednesday,January,170.0,51.0,19.0,5,997094,222002,0,0.0
N,2020,1,Wednesday,January,165.0,51.0,18.0,5,997094,222002,0,3780.0000000000005
N,2020,1,Wednesday,January,165.0,51.0,18.0,5,997094,222002,0,3780.0000000000005
N,2020,1,Wednesday,January,180.0,62.0,19.0,5,997094,222002,0,3780.0000000000005
N,2020,1,Wednesday,January,200.0,58.0,19.0,5,997094,222002,0,3780.0000000000005
N,2020,1,Wednesday,January,190.0,51.0,19.0,5,997094,222002,0,3780.0000000000005
N,2020,1,Wednesday,January,150.0,51.0,39.0,6,1000271,236435,0,62640.00000000001
Y,2020,2,Wednesday,January,175.0,511.0,38.0,6,987495,190615,0,58560.00000000001
N,2020,1,Wednesday,January,210.0,51.0,22.0,16,1036720,204013,0,75960.0
Y,2020,2,Thursday,January,120.0,56.0,16.0,10,1006724,232536,0,4320.0
Y,2020,3,Thursday,January,160.0,58.0,19.0,5,1006098,232576,0,4440.0
N,2020,0,Wednesday,January,120.0,57.0,16.0,10,1015285,181756,0,54720.0
N,2020,0,Wednesday,January,0.0,0.0,0.0,10,1015285,181756,0,54720.0
N,2020,0,Wednesday,January,160.0,59.0,24.0,10,1015285,181756,0,54720.0
N,2020,0,Wednesday,January,0.0,0.0,0.0,10,1015285,181756,0,54720.0
Y,2020,1,Wednesday,January,165.0,51.0,21.0,1,986497,192168,0,13500.0
N,2020,1,Wednesday,January,200.0,0.0,18.0,1,1010355,182412,0,76200.0
Y,2020,1,Wednesday,January,150.0,56.0,50.0,0,1001099,183758,0,68520.0
Y,2020,1,Thursday,January,130.0,56.0,17.0,14,1040042,156329,0,51300.0
Y,2020,1,Wednesday,January,210.0,6.0,25.0,25,1026183,206217,0,17820.0
Y,2020,1,Wednesday,January,135.0,59.0,28.0,15,956060,144861,0,3360.0
Y,2020,10,Thursday,January,160.0,6.0,25.0,10,984235,148284,0,56940.0
Y,2020,1,Wednesday,January,220.0,61.0,40.0,10,994216,174053,0,1860.0000000000002
Y,2020,0,Thursday,January,150.0,6.0,25.0,17,998149,171048,0,16800.0
N,2020,2,Wednesday,January,150.0,56.0,27.0,20,995055,182775,0,7320.000000000001
N,2020,6,Thursday,January,170.0,51.0,55.0,8,980921,175007,0,74460.0
Y,2020,1,Wednesday,January,170.0,65.0,36.0,2,1016432,178623,0,720.0
N,2020,1,Thursday,January,180.0,58.0,37.0,10,1002660,183975,0,75480.0
Y,2020,1,Thursday,January,160.0,58.0,32.0,6,1019841,199173,0,960.0000000000001
N,2020,2,Friday,January,250.0,511.0,44.0,9,1000900,244770,0,12900.0
N,2020,2,Thursday,January,160.0,511.0,20.0,1,1005981,245427,0,81000.0
N,2020,1,Friday,January,250.0,63.0,40.0,10,1005044,245866,0,11460.0
N,2020,1,Friday,January,165.0,51.0,31.0,10,1005044,245866,0,11460.0
N,2020,1,Wednesday,January,150.0,58.0,23.0,15,1023263,259322,0,25680.0
Y,2020,1,Thursday,January,250.0,51.0,42.0,5,1025229,258260,0,7920.000000000001
N,2020,4,Friday,January,190.0,51.0,0.0,20,983838,170798,0,6000.0
N,2020,2,Friday,January,170.0,62.0,26.0,35,977722,170485,0,14940.000000000002
N,2020,2,Friday,January,180.0,61.0,19.0,35,977722,170485,0,14940.000000000002
N,2020,2,Friday,January,160.0,6.0,19.0,35,977722,170485,0,14940.000000000002
Y,2020,1,Thursday,January,160.0,59.0,30.0,1,1002119,193503,0,21300.0
Y,2020,1,Wednesday,January,250.0,57.0,45.0,5,997363,234697,0,63180.00000000001
N,2020,2,Wednesday,January,155.0,59.0,19.0,2,997520,231479,1,3600.0
Y,2020,2,Wednesday,January,200.0,51.0,18.0,2,998486,230978,0,3600.0
Y,2020,1,Friday,January,185.0,51.0,32.0,25,1023709,242230,1,40020.0
N,2020,1,Friday,January,240.0,6.0,30.0,25,1023709,242230,0,40020.0
Y,2020,1,Friday,January,110.0,54.0,22.0,30,1057839,194626,0,17520.0
Y,2020,1,Friday,January,145.0,57.0,34.0,11,986976,198790,0,72180.0
Y,2020,1,Wednesday,January,180.0,63.0,17.0,5,987028,203682,0,73800.0
Y,2020,2,Thursday,January,130.0,57.0,17.0,10,1000864,229503,0,75840.0
Y,2020,2,Thursday,January,180.0,59.0,18.0,10,1000864,229503,0,75840.0
N,2020,1,Friday,January,160.0,51.0,0.0,4,997279,238014,0,60900.00000000001
N,2020,1,Friday,January,195.0,6.0,0.0,4,997279,238014,0,60900.00000000001
Y,2020,2,Thursday,January,140.0,55.0,25.0,0,1001036,245930,0,76200.0
Y,2020,1,Friday,January,210.0,59.0,17.0,2,1007284,239635,0,77700.0
N,2020,1,Wednesday,January,200.0,51.0,30.0,3,1018412,259882,0,13140.0
N,2020,1,Thursday,January,120.0,55.0,25.0,2,1011583,254138,0,9180.0
N,2020,2,Thursday,January,200.0,64.0,25.0,5,1017815,257380,0,79560.0
N,2020,1,Friday,January,150.0,59.0,0.0,2,1010674,252373,0,4560.0
N,2020,5,Wednesday,January,20.0,59.0,0.0,15,982718,178208,0,19800.0
Y,2020,1,Friday,January,215.0,63.0,27.0,5,1011467,192235,0,10500.0
N,2020,1,Thursday,January,190.0,57.0,35.0,45,1055623,182589,0,70500.0
N,2020,1,Thursday,January,200.0,51.0,59.0,45,1055623,182589,0,70500.0
N,2020,0,Thursday,January,180.0,511.0,36.0,20,1055623,182589,0,72000.0
Y,2020,10,Friday,January,150.0,59.0,25.0,12,1035714,206347,0,47880.0
Y,2020,10,Wednesday,January,110.0,55.0,15.0,11,1046653,221430,0,64440.00000000001
Y,2020,10,Wednesday,January,120.0,55.0,15.0,11,1046653,221430,0,64440.00000000001
N,2020,1,Wednesday,January,180.0,62.0,25.0,17,997615,222684,0,4320.0
N,2020,1,Friday,January,250.0,58.0,0.0,5,1015477,257488,0,7740.000000000001
N,2020,0,Saturday,January,160.0,58.0,31.0,5,1016554,210108,0,20580.0
N,2020,1,Wednesday,January,130.0,58.0,16.0,33,989085,205728,0,61140.00000000001
N,2020,1,Wednesday,January,160.0,55.0,16.0,30,988796,205519,0,61500.00000000001
N,2020,1,Wednesday,January,135.0,56.0,16.0,33,989085,205728,0,61500.00000000001
N,2020,1,Wednesday,January,135.0,55.0,0.0,33,989085,205728,0,61500.00000000001
Y,2020,1,Saturday,January,180.0,58.0,29.0,5,998281,225348,0,47640.0
N,2020,1,Wednesday,January,150.0,59.0,19.0,2,1011334,257050,0,63240.00000000001
N,2020,1,Friday,January,170.0,51.0,14.0,13,1034897,152596,0,66480.0
N,2020,3,Thursday,January,130.0,54.0,22.0,3,1009511,215129,0,82500.0
Y,2020,5,Friday,January,180.0,511.0,26.0,5,963882,173882,0,70200.0
N,2020,1,Wednesday,January,215.0,57.0,37.0,11,990741,204332,0,11400.0
Y,2020,0,Wednesday,January,180.0,62.0,24.0,7,987622,203561,0,14280.0
Y,2020,0,Wednesday,January,130.0,57.0,22.0,7,987622,203561,0,14280.0
Y,2020,1,Wednesday,January,180.0,63.0,18.0,2,997261,232213,0,3420.0
N,2020,5,Saturday,January,180.0,6.0,0.0,10,1006209,253743,0,78000.0
N,2020,5,Saturday,January,150.0,58.0,20.0,10,1006209,253743,0,78000.0
N,2020,5,Saturday,January,150.0,51.0,20.0,10,1006209,253743,0,78000.0
Y,2020,1,Saturday,January,150.0,58.0,53.0,3,1010994,237774,0,57300.0
Y,2020,1,Saturday,January,180.0,59.0,73.0,19,1026394,237834,0,66120.0
N,2020,1,Sunday,January,230.0,61.0,45.0,5,985099,172028,0,2400.0
N,2020,2,Friday,January,175.0,58.0,24.0,3,995052,231133,0,2880.0
N,2020,1,Friday,January,145.0,59.0,14.0,5,1007554,235395,0,85500.0
N,2020,1,Friday,January,160.0,56.0,17.0,8,1007554,235395,0,85500.0
Y,2020,1,Friday,January,180.0,6.0,15.0,5,1007554,235395,0,85500.0
N,2020,1,Friday,January,180.0,51.0,17.0,8,1007554,235395,0,85500.0
N,2020,1,Sunday,January,180.0,6.0,28.0,10,1007140,178783,0,14400.0
N,2020,1,Saturday,January,320.0,59.0,37.0,2,1019139,212528,0,12300.0
N,2020,1,Sunday,January,180.0,55.0,33.0,7,1021542,213647,0,10920.0
N,2020,1,Sunday,January,150.0,54.0,24.0,6,1019137,212847,0,9720.0
N,2020,1,Sunday,January,180.0,58.0,36.0,7,1021542,213647,0,10920.0
N,2020,1,Sunday,January,150.0,55.0,24.0,8,1021542,213647,0,10920.0
N,2020,1,Sunday,January,165.0,57.0,20.0,8,1021542,213647,0,10920.0
N,2020,1,Sunday,January,180.0,58.0,26.0,7,1021542,213647,0,10920.0
N,2020,1,Sunday,January,150.0,57.0,32.0,8,1021542,213647,0,10920.0
N,2020,1,Sunday,January,175.0,58.0,17.0,7,1021542,213647,0,10920.0
Y,2020,48,Thursday,January,150.0,55.0,24.0,20,985393,208400,0,56280.0
Y,2020,1,Sunday,January,255.0,58.0,33.0,5,1010080,258236,0,28800.0
Y,2020,1,Saturday,January,170.0,61.0,31.0,16,1014555,256439,0,31620.000000000004
N,2020,2,Sunday,January,210.0,61.0,0.0,1,985629,147694,0,53400.0
N,2020,0,Thursday,January,180.0,57.0,37.0,5,991539,192482,0,63480.00000000001
N,2020,0,Thursday,January,290.0,63.0,26.0,5,991539,192482,0,63480.00000000001
Y,2020,1,Sunday,January,200.0,61.0,31.0,9,1047206,218088,0,4260.0
N,2020,2,Sunday,January,155.0,59.0,24.0,5,987744,200974,0,48120.0
N,2020,1926,Sunday,January,155.0,55.0,30.0,15,996586,223425,0,70020.0
Y,2020,1,Sunday,January,150.0,55.0,34.0,4,1036790,205267,0,70920.0
N,2020,0,Wednesday,January,160.0,57.0,21.0,18,994923,223539,0,79980.0
N,2020,1,Monday,January,170.0,511.0,27.0,13,986183,192239,0,12540.0
