SUSPECT_ARRESTED_FLAG,YEAR,OBSERVED_DURATION_MINUTES,DAY,MONTH,SUSPECT_WEIGHT,SUSPECT_HEIGHT,SUSPECT_REPORTED_AGE,STOP_DURATION_MINUTES,STOP_LOCATION_X,STOP_LOCATION_Y,SUMMONS_ISSUED_FLAG,SECONDS
N,2019,1.0,Wednesday,January,230.0,511.0,30.0,10.0,979667.0,199737.0,0,52200.0
Y,2019,1.0,Tuesday,January,190.0,51.0,22.0,10.0,982650.0,201326.0,0,9000.0
Y,2019,1.0,Saturday,January,250.0,59.0,56.0,4.0,984063.0,203033.0,0,60840.00000000001
N,2019,0.0,Monday,January,0.0,0.0,0.0,5.0,982848.0,202677.0,0,76860.0
Y,2019,1.0,Tuesday,January,150.0,59.0,21.0,5.0,983100.0,202705.0,0,67800.0
N,2019,1.0,Wednesday,January,150.0,59.0,17.0,5.0,980765.0,195773.0,0,22560.0
N,2019,1.0,Thursday,January,220.0,62.0,21.0,3.0,980671.0,196590.0,0,44160.0
N,2019,1.0,Tuesday,January,150.0,59.0,0.0,5.0,980765.0,195773.0,0,22560.0
N,2019,1.0,Monday,February,140.0,57.0,26.0,5.0,981863.0,196460.0,0,50940.0
Y,2019,0.0,Monday,February,125.0,55.0,17.0,10.0,982103.0,198029.0,0,32700.000000000004
Y,2019,1.0,Saturday,February,160.0,57.0,51.0,5.0,981097.0,197271.0,0,44220.0
N,2019,1.0,Wednesday,February,160.0,59.0,24.0,10.0,984502.0,202578.0,0,53100.0
N,2019,1.0,Wednesday,February,150.0,58.0,21.0,10.0,984502.0,202578.0,0,53100.0
N,2019,1.0,Saturday,February,200.0,66.0,53.0,59.0,984615.0,203695.0,0,67260.0
N,2019,1.0,Saturday,February,140.0,51.0,49.0,59.0,984615.0,203695.0,0,67260.0
N,2019,5.0,Friday,March,150.0,57.0,31.0,15.0,984134.0,202485.0,0,55380.0
N,2019,5.0,Friday,March,165.0,6.0,27.0,15.0,984134.0,202485.0,0,55380.0
Y,2019,1.0,Thursday,March,165.0,511.0,24.0,15.0,984713.0,203398.0,0,52200.0
N,2019,1.0,Sunday,March,140.0,57.0,29.0,15.0,981442.0,199546.0,0,81900.0
Y,2019,4.0,Sunday,March,160.0,61.0,20.0,30.0,980875.0,194871.0,0,83700.0
N,2019,1.0,Saturday,March,175.0,51.0,40.0,3.0,981551.0,197981.0,0,46080.0
N,2019,2.0,Monday,March,140.0,58.0,25.0,2.0,981604.0,198068.0,0,33600.0
N,2019,3.0,Monday,March,180.0,62.0,21.0,5.0,981319.0,199612.0,0,47760.0
Y,2019,1.0,Tuesday,March,115.0,54.0,36.0,16.0,982226.0,199035.0,0,47400.0
Y,2019,1.0,Friday,March,210.0,57.0,40.0,2.0,981615.0,196630.0,0,77100.0
Y,2019,1.0,Monday,April,110.0,52.0,12.0,16.0,984724.0,203415.0,0,67440.0
N,2019,1.0,Monday,April,110.0,53.0,15.0,16.0,984724.0,203415.0,0,67440.0
N,2019,1.0,Monday,April,140.0,58.0,15.0,16.0,984724.0,203415.0,0,67440.0
N,2019,1.0,Monday,April,140.0,58.0,15.0,16.0,984724.0,203415.0,0,67440.0
N,2019,1.0,Tuesday,April,280.0,58.0,31.0,7.0,980772.0,194845.0,0,73500.0
N,2019,5.0,Tuesday,April,160.0,6.0,29.0,3.0,980829.0,194864.0,0,72900.0
N,2019,1.0,Sunday,April,140.0,59.0,34.0,10.0,981650.0,198144.0,0,59640.00000000001
N,2019,3.0,Sunday,April,145.0,51.0,60.0,4.0,982226.0,199035.0,0,43380.0
N,2019,1.0,Wednesday,April,180.0,6.0,29.0,5.0,983161.0,201903.0,0,60960.00000000001
N,2019,5.0,Saturday,April,120.0,53.0,27.0,45.0,983861.0,202523.0,0,50880.0
N,2019,5.0,Saturday,April,150.0,6.0,25.0,45.0,983861.0,202523.0,0,50880.0
N,2019,5.0,Saturday,April,140.0,6.0,25.0,45.0,983861.0,202523.0,0,50880.0
Y,2019,1.0,Tuesday,April,200.0,51.0,50.0,10.0,983855.0,201569.0,0,51720.0
N,2019,1.0,Wednesday,April,180.0,6.0,32.0,10.0,981411.0,197764.0,0,47100.0
N,2019,1.0,Tuesday,May,150.0,57.0,75.0,10.0,983260.0,197325.0,0,49620.0
N,2019,2.0,Thursday,May,160.0,58.0,18.0,5.0,980665.0,197755.0,0,63600.00000000001
N,2019,2.0,Thursday,May,185.0,62.0,18.0,5.0,980648.0,197714.0,0,63600.00000000001
N,2019,2.0,Thursday,May,200.0,57.0,18.0,5.0,980648.0,197714.0,0,63600.00000000001
Y,2019,1.0,Tuesday,May,165.0,57.0,26.0,9.0,983938.0,203110.0,0,71400.0
Y,2019,1.0,Thursday,May,230.0,6.0,24.0,13.0,983726.0,202322.0,0,64260.00000000001
N,2019,1.0,Tuesday,May,200.0,61.0,63.0,10.0,983260.0,197325.0,0,49620.0
Y,2019,5.0,Monday,May,145.0,58.0,14.0,20.0,982327.0,201274.0,0,83100.0
Y,2019,5.0,Monday,May,150.0,58.0,15.0,20.0,982327.0,201274.0,0,83100.0
Y,2019,5.0,Monday,May,130.0,56.0,15.0,20.0,982327.0,201274.0,0,83100.0
Y,2019,5.0,Monday,May,120.0,57.0,14.0,20.0,982327.0,201274.0,0,83100.0
N,2019,1.0,Tuesday,May,130.0,511.0,66.0,10.0,980070.0,198398.0,0,50700.0
N,2019,2.0,Sunday,June,130.0,56.0,24.0,15.0,983814.0,197150.0,0,2700.0
N,2019,2.0,Sunday,June,160.0,59.0,26.0,15.0,983814.0,197150.0,0,2700.0
Y,2019,2.0,Sunday,June,160.0,59.0,25.0,15.0,983814.0,197150.0,0,2700.0
Y,2019,2.0,Sunday,June,120.0,55.0,26.0,15.0,983814.0,197150.0,0,2700.0
N,2019,1.0,Saturday,May,250.0,62.0,35.0,5.0,982555.0,202957.0,0,16200.000000000002
Y,2019,1.0,Thursday,June,160.0,56.0,22.0,20.0,982687.0,203178.0,0,45300.0
Y,2019,1.0,Thursday,June,140.0,56.0,22.0,5.0,982687.0,203178.0,0,45180.0
Y,2019,1.0,Thursday,June,145.0,56.0,16.0,69.0,980392.0,196944.0,0,61620.00000000001
Y,2019,1.0,Thursday,June,160.0,58.0,17.0,69.0,980392.0,196944.0,0,61620.00000000001
Y,2019,1.0,Thursday,June,160.0,58.0,16.0,5.0,980528.0,197359.0,0,61440.00000000001
