year,month,day,stop_was_initiated,issuing_officer_rank,observed_duration_minutes,suspected_crime_description,stop_duration_minutes,officer_explained_stop_flag,suspect_arrested_flag,summons_issued_flag,officer_in_uniform_flag,frisked_flag,searched_flag,weapon_found_flag,suspect_reported_age,suspect_sex,suspect_race_description,suspect_height,suspect_weight,suspect_body_build_type,suspect_eye_color,suspect_hair_color,stop_location_x,stop_location_y,stop_location_boro_name,seconds
2020,January,Wednesday,Based on Radio Run,POM,1,Other,2,Y,Y,0,Y,Y,Y,Y,18.0,MALE,BLACK,61.0,160.0,THN,BLK,BLK,997094,222002,MANHATTAN,4320.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,0,Y,Y,N,N,18.0,MALE,BLACK,62.0,180.0,THN,BRO,BLK,997094,222002,MANHATTAN,4260.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,0,Y,Y,N,N,17.0,MALE,WHITE HISPANIC,51.0,165.0,MED,BRO,BLK,997094,222002,MANHATTAN,4260.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,10,Y,Y,0,Y,Y,Y,N,33.0,MALE,BLACK,6.0,220.0,MED,BRO,BLK,1018441,181412,BROOKLYN,37080.0
2020,January,Wednesday,Based on Radio Run,POM,0,BURGLARY,15,Y,N,0,Y,N,N,N,40.0,FEMALE,WHITE,59.0,170.0,MED,BRO,BLN,987763,182543,BROOKLYN,31500.000000000004
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,0,Y,Y,N,N,19.0,MALE,BLACK,51.0,170.0,Other,Other,BLK,997094,222002,MANHATTAN,0.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,0,Y,Y,N,N,18.0,MALE,BLACK,51.0,165.0,Other,Other,BLK,997094,222002,MANHATTAN,3780.0000000000005
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,0,Y,Y,N,N,18.0,MALE,BLACK,51.0,165.0,Other,Other,BLK,997094,222002,MANHATTAN,3780.0000000000005
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,0,Y,Y,N,N,19.0,MALE,BLACK,62.0,180.0,Other,Other,BLK,997094,222002,MANHATTAN,3780.0000000000005
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,0,Y,Y,N,N,19.0,FEMALE,Other,58.0,200.0,Other,Other,Other,997094,222002,MANHATTAN,3780.0000000000005
2020,January,Wednesday,Based on Radio Run,POM,1,Other,5,Y,N,0,Y,Y,N,N,19.0,MALE,BLACK,51.0,190.0,Other,Other,BLK,997094,222002,MANHATTAN,3780.0000000000005
2020,January,Wednesday,Based on Radio Run,POM,1,Other,6,Y,N,0,Y,Y,Y,N,39.0,MALE,BLACK,51.0,150.0,THN,BRO,BLK,1000271,236435,MANHATTAN,62640.00000000001
2020,January,Wednesday,Based on Radio Run,POM,2,LARCENY,6,Y,Y,0,Y,Y,Y,N,38.0,MALE,BLACK,511.0,175.0,MED,BLK,BLK,987495,190615,BROOKLYN,58560.00000000001
2020,January,Wednesday,Based on Radio Run,POM,1,Other,16,Y,N,0,Y,Y,N,N,22.0,MALE,WHITE HISPANIC,51.0,210.0,Other,BRO,BLK,1036720,204013,QUEENS,75960.0
2020,January,Thursday,Based on Radio Run,POM,2,BURGLARY,10,Y,Y,0,Y,Y,N,N,16.0,MALE,WHITE HISPANIC,56.0,120.0,THN,BRO,Other,1006724,232536,BRONX,4320.0
2020,January,Thursday,Based on Radio Run,POM,3,BURGLARY,5,N,Y,0,Y,Y,Y,N,19.0,MALE,WHITE HISPANIC,58.0,160.0,THN,BRO,BLK,1006098,232576,BRONX,4440.0
2020,January,Wednesday,Based on Radio Run,POM,0,Other,10,Y,N,0,Y,Y,N,N,16.0,MALE,BLACK,57.0,120.0,THN,BRO,BLK,1015285,181756,BROOKLYN,54720.0
2020,January,Wednesday,Based on Radio Run,POF,0,Other,10,Y,N,0,Y,Y,N,N,0.0,MALE,BLACK,0.0,0.0,MED,BRO,BLK,1015285,181756,BROOKLYN,54720.0
2020,January,Wednesday,Based on Radio Run,POM,0,Other,10,Y,N,0,Y,Y,N,N,24.0,MALE,BLACK,59.0,160.0,MED,BRO,BLK,1015285,181756,BROOKLYN,54720.0
2020,January,Wednesday,Based on Radio Run,POF,0,Other,10,Y,N,0,Y,Y,N,N,0.0,MALE,BLACK,0.0,0.0,MED,BLK,BLK,1015285,181756,BROOKLYN,54720.0
2020,January,Wednesday,Based on Radio Run,POM,1,LARCENY,1,N,Y,0,Y,N,N,N,21.0,MALE,BLACK,51.0,165.0,THN,BRO,BLK,986497,192168,BROOKLYN,13500.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,1,Y,N,0,N,Y,N,N,18.0,MALE,BLACK,0.0,200.0,MED,BRO,BLK,1010355,182412,BROOKLYN,76200.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,0,Y,Y,0,Y,Y,Y,N,50.0,MALE,BLACK,56.0,150.0,MED,BLK,BLK,1001099,183758,BROOKLYN,68520.0
2020,January,Thursday,Based on Radio Run,POM,1,Other,14,Y,Y,0,Y,N,N,N,17.0,MALE,BLACK,56.0,130.0,THN,BRO,BLK,1040042,156329,QUEENS,51300.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,25,N,Y,0,Y,N,Y,N,25.0,MALE,WHITE HISPANIC,6.0,210.0,MED,BRO,Other,1026183,206217,QUEENS,17820.0
2020,January,Wednesday,Based on Radio Run,Other,1,Other,15,Y,Y,0,N,Y,Y,N,28.0,MALE,BLACK HISPANIC,59.0,135.0,THN,BRO,BLK,956060,144861,STATEN ISL & Other,3360.0
2020,January,Thursday,Based on Self Initiated,POM,10,Other,10,Y,Y,0,N,N,Y,N,25.0,MALE,BLACK,6.0,160.0,THN,BRO,BLK,984235,148284,BROOKLYN,56940.0
2020,January,Wednesday,Based on Radio Run,POM,1,BURGLARY,10,Y,Y,0,Y,Y,Y,N,40.0,MALE,BLACK,61.0,220.0,MED,BRO,BLK,994216,174053,BROOKLYN,1860.0000000000002
2020,January,Thursday,Based on Radio Run,POM,0,Other,17,Y,Y,0,Y,Y,Y,Y,25.0,MALE,BLACK,6.0,150.0,Other,BRO,BLK,998149,171048,BROOKLYN,16800.0
2020,January,Wednesday,Based on Radio Run,POM,2,Other,20,Y,N,0,Y,Y,Y,N,27.0,MALE,BLACK,56.0,150.0,THN,BRO,BLK,995055,182775,BROOKLYN,7320.000000000001
2020,January,Thursday,Based on Self Initiated,POM,6,Other,8,Y,N,0,Y,N,N,N,55.0,MALE,BLACK,51.0,170.0,THN,BRO,BLK,980921,175007,BROOKLYN,74460.0
2020,January,Wednesday,Based on Self Initiated,POM,1,Other,2,Y,Y,0,Y,Y,Y,Y,36.0,MALE,BLACK,65.0,170.0,THN,BRO,BLK,1016432,178623,BROOKLYN,720.0
2020,January,Thursday,Based on Radio Run,POM,1,Other,10,Y,N,0,Y,Y,N,N,37.0,MALE,BLACK,58.0,180.0,THN,BRO,BLK,1002660,183975,BROOKLYN,75480.0
2020,January,Thursday,Based on Radio Run,POM,1,LARCENY,6,Y,Y,0,Y,N,Y,N,32.0,MALE,Other,58.0,160.0,THN,BRO,BLK,1019841,199173,QUEENS,960.0000000000001
2020,January,Friday,Based on Radio Run,POM,2,ASSAULT,9,Y,N,0,N,Y,Y,N,44.0,MALE,WHITE HISPANIC,511.0,250.0,Other,BRO,BLK,1000900,244770,MANHATTAN,12900.0
2020,January,Thursday,Based on C/W on Scene,POM,2,ROBBERY,1,Y,N,0,N,Y,N,N,20.0,MALE,BLACK,511.0,160.0,Other,BRO,BLK,1005981,245427,BRONX,81000.0
2020,January,Friday,Based on C/W on Scene,POM,1,ASSAULT,10,Y,N,0,Y,N,N,N,40.0,MALE,BLACK,63.0,250.0,MED,BRO,BLK,1005044,245866,BRONX,11460.0
2020,January,Friday,Based on C/W on Scene,POM,1,ASSAULT,10,Y,N,0,Y,N,N,N,31.0,FEMALE,BLACK,51.0,165.0,MED,BRO,BLK,1005044,245866,BRONX,11460.0
2020,January,Wednesday,Based on Radio Run,POM,1,ASSAULT,15,Y,N,0,Y,Y,N,N,23.0,MALE,BLACK,58.0,150.0,THN,BRO,BLK,1023263,259322,BRONX,25680.0
2020,January,Thursday,Based on Radio Run,POM,1,LARCENY,5,Y,Y,0,Y,N,Y,N,42.0,MALE,WHITE HISPANIC,51.0,250.0,Other,BRO,Other,1025229,258260,BRONX,7920.000000000001
2020,January,Friday,Based on Radio Run,POM,4,BURGLARY,20,Y,N,0,Y,Y,N,N,0.0,MALE,WHITE,51.0,190.0,MED,BRO,Other,983838,170798,BROOKLYN,6000.0
2020,January,Friday,Based on C/W on Scene,POM,2,Other,35,Y,N,0,Y,N,N,N,26.0,MALE,BLACK,62.0,170.0,MED,BRO,BLK,977722,170485,BROOKLYN,14940.000000000002
2020,January,Friday,Based on C/W on Scene,POM,2,Other,35,Y,N,0,Y,N,N,N,19.0,MALE,BLACK,61.0,180.0,MED,BRO,BLK,977722,170485,BROOKLYN,14940.000000000002
2020,January,Friday,Based on C/W on Scene,POM,2,Other,35,Y,N,0,Y,N,N,N,19.0,MALE,BLACK,6.0,160.0,MED,BRO,BLK,977722,170485,BROOKLYN,14940.000000000002
2020,January,Thursday,Based on Radio Run,POM,1,BURGLARY,1,Y,Y,0,Y,Y,Y,N,30.0,MALE,WHITE HISPANIC,59.0,160.0,THN,BRO,BLK,1002119,193503,BROOKLYN,21300.0
2020,January,Wednesday,Based on Radio Run,POF,1,ASSAULT,5,Y,Y,0,Y,Y,Y,N,45.0,MALE,WHITE HISPANIC,57.0,250.0,Other,BRO,BLK,997363,234697,MANHATTAN,63180.00000000001
2020,January,Wednesday,Based on Radio Run,POM,2,Other,2,Y,N,1,Y,N,Y,N,19.0,MALE,BLACK,59.0,155.0,THN,BRO,BLK,997520,231479,MANHATTAN,3600.0
2020,January,Wednesday,Based on Radio Run,POM,2,Other,2,Y,Y,0,Y,N,Y,N,18.0,MALE,BLACK,51.0,200.0,Other,BLK,BLK,998486,230978,MANHATTAN,3600.0
2020,January,Friday,Based on Radio Run,POF,1,Other,25,Y,Y,1,Y,Y,Y,Y,32.0,MALE,WHITE HISPANIC,51.0,185.0,MED,BRO,BLK,1023709,242230,BRONX,40020.0
2020,January,Friday,Based on Radio Run,POF,1,Other,25,Y,N,0,Y,Y,N,N,30.0,FEMALE,WHITE HISPANIC,6.0,240.0,MED,BRO,Other,1023709,242230,BRONX,40020.0
2020,January,Friday,Based on C/W on Scene,POM,1,ASSAULT,30,Y,Y,0,Y,N,Y,N,22.0,FEMALE,BLACK,54.0,110.0,THN,BRO,BLK,1057839,194626,QUEENS,17520.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,11,Y,Y,0,N,N,N,N,34.0,MALE,BLACK,57.0,145.0,THN,BRO,BLK,986976,198790,MANHATTAN,72180.0
2020,January,Wednesday,Based on Radio Run,POM,1,ROBBERY,5,Y,Y,0,N,N,Y,Y,17.0,MALE,BLACK,63.0,180.0,THN,BRO,BLK,987028,203682,MANHATTAN,73800.0
2020,January,Thursday,Based on Radio Run,POF,2,Other,10,Y,Y,0,Y,Y,Y,N,17.0,MALE,BLACK,57.0,130.0,THN,BLK,BLK,1000864,229503,MANHATTAN,75840.0
2020,January,Thursday,Based on Radio Run,POF,2,Other,10,Y,Y,0,Y,Y,Y,N,18.0,MALE,BLACK,59.0,180.0,THN,BRO,BLK,1000864,229503,MANHATTAN,75840.0
2020,January,Friday,Based on C/W on Scene,POM,1,ROBBERY,4,Y,N,0,Y,N,N,N,0.0,MALE,BLACK HISPANIC,51.0,160.0,MED,BRO,Other,997279,238014,MANHATTAN,60900.00000000001
2020,January,Friday,Based on C/W on Scene,POM,1,ROBBERY,4,Y,N,0,Y,N,N,N,0.0,MALE,WHITE HISPANIC,6.0,195.0,MED,BRO,Other,997279,238014,MANHATTAN,60900.00000000001
2020,January,Thursday,Based on Radio Run,POM,2,Other,0,Y,Y,0,Y,Y,Y,N,25.0,MALE,WHITE HISPANIC,55.0,140.0,THN,BRO,Other,1001036,245930,MANHATTAN,76200.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,2,Y,Y,0,N,Y,Y,Y,17.0,MALE,BLACK HISPANIC,59.0,210.0,Other,BRO,Other,1007284,239635,BRONX,77700.0
